"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"36",453516,5489,11538994,93722,9004398,4487799,26922,2619948,8059394,2768
"37",589621,6633,13349742,118436,9875637,5110145,33331,3555702,9287323,3331
"38",763711,7828,14578669,150766,10803155,5668002,40973,4740755,10277946,3803
"39",979906,9355,15010101,191763,11711405,6197253,50161,6181679,10979827,4409
"40",1249111,11367,14630188,241964,12500134,6784129,63106,7843905,11417079,5177
"41",1580180,13346,13585549,303537,13048081,7494805,78188,9629148,11662223,5996
"42",1971481,15964,12120027,382691,13230361,8375293,97447,11372189,11778655,7066
"43",2426315,19375,10403398,474600,12961076,9440166,120105,12862760,11741312,8342
"44",2939527,23251,8612424,588366,12224942,10680187,149438,13886962,11525461,9930
"45",3498342,28030,6881001,722976,11065851,12079635,184400,14295876,11070037,11738
"46",4093678,33547,5317543,880174,9585296,13537961,228670,14098541,10340994,13507
"47",4703097,40347,4001084,1056689,7888713,14941762,282244,13423325,9386901,15927
"48",5324897,48601,2948170,1255478,6176077,16052439,352045,12456482,8314600,18661
"49",5933361,59092,2134747,1469594,4620822,16652496,432747,11396884,7278155,22278
"50",6538889,70449,1533626,1695343,3331737,16510185,534232,10345590,6400003,26386
"51",7130544,85013,1094538,1927754,2354450,15501986,655790,9287585,5762231,30851
"52",7696562,102579,779596,2162205,1640704,13725927,801201,8215211,5330773,36344
"53",8211207,123488,557462,2387998,1137675,11461897,974910,7133499,5026782,42613
"54",8680877,148979,404731,2596056,785666,9100470,1178371,6081393,4717485,49886
"55",9083306,179644,298681,2783511,541661,6935465,1414954,5103095,4303081,58892
"56",9425524,215467,230465,2936902,375320,5138389,1686162,4253530,3744512,69665
"57",9689320,258928,189422,3049121,259746,3738803,1988173,3542139,3092820,81138
"58",9865549,308631,171312,3104041,180314,2689090,2322475,2972552,2426875,96176
"59",9923992,368743,172490,3107834,125852,1924271,2684815,2511518,1837833,112591
"60",9824520,438560,192224,3077674,87167,1369684,3062000,2123818,1350349,131277
"61",9547649,516990,233575,3005994,60527,977860,3450568,1773935,980447,153667
"62",9111377,604809,298965,2915420,42199,695963,3830227,1451153,701748,179388
"63",8553436,705236,393219,2824507,29695,497726,4184047,1157706,501679,209318
"64",7908196,812538,520128,2732449,20697,353248,4487828,899442,357429,242584
"65",7208492,929330,686246,2654752,14280,252930,4723311,684464,254635,282116
"66",6468612,1052144,892431,2579354,10091,181091,4872109,511143,181256,323904
"67",5702623,1184514,1136836,2513275,7081,129993,4907345,377736,128185,370538
"68",4930577,1320547,1405484,2441368,4992,92466,4830562,276814,91748,424916
"69",4179226,1466994,1677203,2362104,3555,66274,4644477,201546,65891,483026
"70",3469258,1622097,1901617,2274783,2392,47986,4365350,146515,46649,544969
"71",2833184,1785176,2039025,2176046,1719,34058,4030734,106301,33278,612795
"72",2275672,1966163,2059431,2060339,1153,24523,3666906,77066,23885,683281
"73",1809010,2166238,1951914,1933210,820,17623,3300528,55907,17204,755162
