"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"288",0,0,0,0,0,0,0,0,0,0
"289",0,0,0,0,0,0,0,0,0,0
"290",0,0,0,0,0,0,0,0,0,0
"291",0,0,0,0,0,0,0,0,0,0
"292",0,0,0,0,0,0,0,0,0,0
"293",0,0,0,0,0,0,0,0,0,0
"294",0,0,0,0,0,0,0,0,0,0
"295",0,0,0,0,0,0,0,0,0,0
"296",0,0,0,0,0,0,0,0,0,0
"297",0,0,0,0,0,0,0,0,0,0
"298",0,0,0,0,0,0,0,0,0,0
"299",0,0,0,0,0,0,0,0,0,0
"300",0,0,0,0,0,0,0,0,0,0
